# 彰化 中华电信
61.224.75.48:7443#彰化 中华电信
61.224.75.48:9443#彰化 中华电信
61.223.99.74:2087#彰化 中华电信
61.224.66.144:2087#彰化 中华电信
61.224.70.6:2087#彰化 中华电信
61.224.88.39:2087#彰化 中华电信
61.224.107.47:2053#彰化 中华电信
61.224.107.47:2087#彰化 中华电信
61.223.87.244:2087#彰化 中华电信
61.223.67.230:2053#彰化 中华电信
61.223.67.230:9443#彰化 中华电信
61.223.67.118:9443#彰化 中华电信
61.223.67.118:2087#彰化 中华电信
61.223.99.129:9443#彰化 中华电信
61.223.82.197:2053#彰化 中华电信
61.223.82.197:9443#彰化 中华电信
61.223.65.248:2053#彰化 中华电信
61.224.75.159:2087#彰化 中华电信
61.224.64.220:2087#彰化 中华电信
61.224.64.80:7443#彰化 中华电信
61.224.64.80:9443#彰化 中华电信
61.224.105.117:7443#彰化 中华电信
61.224.105.117:9443#彰化 中华电信
61.224.119.89:7443#彰化 中华电信
61.224.119.89:9443#彰化 中华电信
61.224.72.16:2053#彰化 中华电信
61.224.72.16:9443#彰化 中华电信
61.224.76.168:2087#彰化 中华电信
61.224.118.71:2087#彰化 中华电信
61.224.108.212:2087#彰化 中华电信
61.224.68.184:2087#彰化 中华电信
61.224.95.205:2087#彰化 中华电信
1.168.164.139:2087#彰化 中华电信
1.168.168.235:2087#彰化 中华电信
1.168.168.235:2053#彰化 中华电信
1.168.168.235:9443#彰化 中华电信
1.168.174.4:2053#彰化 中华电信
1.168.174.4:9443#彰化 中华电信
1.168.191.240:2053#彰化 中华电信
1.168.191.240:9443#彰化 中华电信
1.168.168.72:18245#彰化 中华电信
1.170.219.198:2087#彰化 中华电信
1.170.219.198:9443#彰化 中华电信
1.170.200.200:9443#彰化 中华电信
1.170.198.108:2053#彰化 中华电信
1.170.198.108:9443#彰化 中华电信
1.170.207.200:2087#彰化 中华电信
1.170.251.53:9443#彰化 中华电信
1.170.218.105:18245#彰化 中华电信
1.170.211.231:18245#彰化 中华电信
1.165.46.209:13720#彰化 中华电信
114.41.18.139:2053#彰化 中华电信
114.41.18.139:9443#彰化 中华电信
114.41.18.90:13720#彰化 中华电信
114.26.131.210:22222#彰化 中华电信
114.41.214.201:18245#彰化 中华电信

# 员林 中华电信
1.168.166.65:2087#员林 中华电信
1.168.182.55:2087#员林 中华电信
1.168.172.148:2087#员林 中华电信
1.168.172.148:2053#员林 中华电信
1.168.181.67:2087#员林 中华电信
1.168.161.17:2087#员林 中华电信
1.168.186.20:2053#员林 中华电信
1.168.186.109:9443#员林 中华电信
1.168.163.161:2053#员林 中华电信
1.168.163.161:2087#员林 中华电信
1.168.163.161:9443#员林 中华电信
1.168.176.102:2053#员林 中华电信
1.168.176.102:9443#员林 中华电信
1.168.163.253:2053#员林 中华电信
1.168.163.253:9443#员林 中华电信
1.168.160.105:2053#员林 中华电信
1.168.160.105:9443#员林 中华电信
1.168.160.50:9443#员林 中华电信
1.168.160.122:18246#员林 中华电信
1.170.201.36:2053#员林 中华电信
1.170.206.241:2053#员林 中华电信
1.170.206.9:2053#员林 中华电信
1.170.206.9:9443#员林 中华电信
1.170.247.61:2053#员林 中华电信
1.170.247.61:2087#员林 中华电信
1.170.247.61:9443#员林 中华电信
1.170.220.187:2087#员林 中华电信
1.170.215.179:9443#员林 中华电信
1.170.244.152:9443#员林 中华电信
1.170.244.171:9443#员林 中华电信
1.170.237.127:9443#员林 中华电信
1.170.229.252:10003#员林 中华电信
1.170.229.252:10243#员林 中华电信
1.170.229.252:18081#员林 中华电信
1.170.241.172:14265#员林 中华电信
1.170.229.121:14265#员林 中华电信
1.170.193.4:18245#员林 中华电信
1.170.193.4:11211#员林 中华电信
1.170.196.126:2053#员林 中华电信
1.170.196.126:9443#员林 中华电信
1.170.196.32:2053#员林 中华电信
1.170.196.32:9443#员林 中华电信
1.170.204.173:2053#员林 中华电信
1.170.203.7:9443#员林 中华电信
1.170.235.240:2087#员林 中华电信
1.168.176.212:15000#员林 中华电信
1.168.162.62:2053#员林 中华电信
1.168.162.62:2087#员林 中华电信
1.168.162.62:9443#员林 中华电信
1.169.103:9443#员林 中华电信
1.168.167.124:9443#员林 中华电信
1.168.180.92:9443#员林 中华电信
122.118.145.167:2087#员林 中华电信
122.118.139.115:2053#员林 中华电信
122.118.139.115:9443#员林 中华电信
122.118.139.115:2087#员林 中华电信
122.118.140.83:2087#员林 中华电信
122.118.142.69:2053#员林 中华电信
122.118.142.69:9443#员林 中华电信
122.118.149.3:2087#员林 中华电信
122.118.154.204:9443#员林 中华电信
122.118.154.204:7443#员林 中华电信
122.118.157.59:2087#员林 中华电信
122.118.148.119:2053#员林 中华电信
61.224.85.121:2053#员林 中华电信
61.224.85.121:2087#员林 中华电信
61.224.85.121:9443#员林 中华电信
61.224.79.190:2053#员林 中华电信
61.224.79.190:2087#员林 中华电信
61.224.107.47:2053#员林 中华电信
61.224.107.47:2087#员林 中华电信
61.224.114.234:2053#员林 中华电信
111.252.147.125:2087#员林 中华电信
111.252.134.206:2087#员林 中华电信
111.252.154.22:2053#员林 中华电信
111.246.11.60:9443#员林 中华电信
114.41.20.122:9443#员林 中华电信
36.235.175.113:2053#员林 中华电信
36.235.175.113:2087#员林 中华电信
36.235.135.193:2053#员林 中华电信
36.235.127.201:11211#员林 中华电信

# 台北 中华电信
114.41.17.141:2087#台北 中华电信
114.41.14.80:18246#台北 中华电信
114.41.14.80:14265#台北 中华电信
114.41.17.40:10243#台北 中华电信
114.41.14.5:2053#台北 中华电信
114.41.14.5:9443#台北 中华电信
114.41.16.96:13720#台北 中华电信
36.227.195.124:2443#台北 中华电信
36.227.193.52:2443#台北 中华电信
36.235.48.105:10162#台北 中华电信
36.224.203.171:13720#台北 中华电信
36.224.198.3:13720#台北 中华电信
36.239.53.79:11310#台北 中华电信
59.127.4.190:2053#台北 中华电信
59.127.191.39:2053#台北 中华电信
59.127.36.203:2053#台北 中华电信
61.220.87.126:2053#台北 中华电信
61.222.202.153:2053#台北 中华电信
61.223.99.74:2087#台北 中华电信
61.224.79.122:2087#台北 中华电信
61.224.72.16:2053#台北 中华电信
61.224.72.16:9443#台北 中华电信
61.224.119.89:7443#台北 中华电信
61.224.119.89:9443#台北 中华电信
61.224.105.117:7443#台北 中华电信
61.224.105.117:9443#台北 中华电信
61.223.67.118:9443#台北 中华电信
61.223.67.118:2087#台北 中华电信
61.223.67.230:2053#台北 中华电信
61.223.67.230:9443#台北 中华电信
61.223.82.197:2053#台北 中华电信
61.223.82.197:9443#台北 中华电信
61.223.65.248:2053#台北 中华电信
1.170.193.4:18245#台北 中华电信
1.170.193.4:11211#台北 中华电信
1.170.196.126:2053#台北 中华电信
1.170.196.126:9443#台北 中华电信
1.170.196.32:2053#台北 中华电信
1.170.196.32:9443#台北 中华电信
1.170.197.243:16000#台北 中华电信
1.168.167.124:9443#台北 中华电信
1.168.169.103:9443#台北 中华电信
203.74.185.130:2053#台北 中华电信
203.74.185.148:2053#台北 中华电信
220.130.58.228:2053#台北 中华电信
220.135.92.105:2087#台北 中华电信
111.255.111.143:15000#台北 中华电信
111.250.112.62:11310#台北 中华电信
118.165.81.237:16000#台北 中华电信
118.165.76.199:11211#台北 中华电信
218.164.53.230:10003#台北 中华电信
114.36.52.193:18081#台北 中华电信
125.230.103.247:11310#台北 中华电信
60.249.45.225:2087#台北 中华电信

# 台中 中华电信
111.246.225.80:2087#台中 中华电信
1.168.162.62:2053#台中 中华电信
1.168.162.62:2087#台中 中华电信
1.168.162.62:9443#台中 中华电信

# 南投 中华电信
61.224.118.71:2087#南投 中华电信
114.41.17.40:10243#南投 中华电信
1.170.195.108:2087#南投 中华电信
1.170.204.173:2053#南投 中华电信
1.170.203.7:9443#南投 中华电信
1.170.229.252:10003#南投 中华电信
1.170.229.252:10243#南投 中华电信
1.170.229.252:18081#南投 中华电信
1.170.229.121:14265#南投 中华电信

# 台南 中华电信
118.171.68.189:18081#台南 中华电信
118.171.70.96:18081#台南 中华电信
1.174.244.225:18081#台南 中华电信
36.237.222.85:16000#台南 中华电信

# 嘉义 中华电信
114.39.202.177:18246#嘉义 中华电信

# 屏东 中华电信
114.47.211.29:11211#屏东 中华电信

# 板桥 中华电信
118.165.76.199:11211#板桥 中华电信

# 桃园 中华电信
61.220.87.126:2053#桃园 中华电信

# 斗六 中华电信
36.235.127.201:11211#斗六 中华电信
